,상가업소번호,brand,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번본번지,지번부번지,지번주소,도로명코드,도로명,도로명주소,층정보,경도,위도,place_id,월간 검색량,블로그누적발행
9630,MA0101202306A0047235,역전할머니,역전할머니맥주,선릉점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11680,강남구,11680630,대치4동,1168010600,대치동,1168010600108960036,896.0,36.0,서울특별시 강남구 대치동 896-36,116804166495,서울특별시 강남구 선릉로86길,서울특별시 강남구 선릉로86길 42,2,127.05310968295,37.5039513741486,1365133624,20.0,316.0
9631,MA0101202306A0051573,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11170,용산구,11170700,보광동,1117013600,보광동,1117013600102160056,216.0,56.0,서울특별시 용산구 보광동 216-56,111703102011,서울특별시 용산구 장문로,서울특별시 용산구 장문로 98,1,127.000373325242,37.5260018662155,11762655,20.0,97.0
9632,MA0101202306A0047225,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11500,강서구,11500620,공항동,1150010800,공항동,1150010800100530026,53.0,26.0,서울특별시 강서구 공항동 53-26,115003115006,서울특별시 강서구 송정로,서울특별시 강서구 송정로 64,1,126.810082572415,37.5604204711911,38623533,20.0,45.0
9633,MA0101202305A0196442,역전할머니,역전할머니맥주홍대입구역점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103310017,331.0,17.0,서울특별시 마포구 서교동 331-17,114403113015,서울특별시 마포구 어울마당로,서울특별시 마포구 어울마당로 140,2,126.925667105035,37.5560898832901,1520286568,20.0,255.0
9636,MA0101202308A0081473,역전할머니,역전할머니맥주,아차산점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215770,중곡4동,1121510100,중곡동,1121510100101150028,115.0,28.0,서울특별시 광진구 중곡동 115-28,112154112515,서울특별시 광진구 천호대로127길,서울특별시 광진구 천호대로127길 10,,127.089506495619,37.5535205228688,1242738933,20.0,159.0
9637,MA0101202308A0079630,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11260,중랑구,11260690,신내2동,1126010600,신내동,1126010600106480000,648.0,,서울특별시 중랑구 신내동 648,112603106007,서울특별시 중랑구 신내로,서울특별시 중랑구 신내로 225,,127.091360778687,37.6169670149357,33913614,20.0,88.0
9638,MA0101202308A0010454,역전할머니,역전할머니맥주서울신길사러가점,,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11560,영등포구,11560650,신길3동,1156013200,신길동,1156013200102320045,232.0,45.0,서울특별시 영등포구 신길동 232-45,115603118014,서울특별시 영등포구 신길로,서울특별시 영등포구 신길로 169,1,126.910741087332,37.5072182587976,1220021369,20.0,207.0
9639,MA0101202308A0050908,역전할머니,역전할머니맥주1982구로항동점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11530,구로구,11530800,항동,1153011200,항동,1153011200102420004,242.0,4.0,서울특별시 구로구 항동 242-4,115303000020,서울특별시 구로구 서해안로,서울특별시 구로구 서해안로 2104,,126.823671692161,37.4803514897468,2450121,20.0,122.0
9640,MA0101202306A0086685,역전할머니,역전할머니맥주종각역점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013500,관철동,1111013500100190001,19.0,1.0,서울특별시 종로구 관철동 19-1,111104100307,서울특별시 종로구 종로12길,서울특별시 종로구 종로12길 14,2,126.985590335336,37.569447150829,1373524926,20.0,83.0
9641,MA0101202306A0085559,역전할머니,역전할머니맥주한성대점,,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11290,성북구,11290555,삼선동,1129011200,삼선동2가,1129011200100810000,81.0,,서울특별시 성북구 삼선동2가 81,112903107005,서울특별시 성북구 삼선교로,서울특별시 성북구 삼선교로 34,1,127.00937483121,37.5879811062745,1299240760,20.0,24.0
9643,MA0101202310A0077848,역전할머니,역전할머니맥주,한양대점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11200,성동구,11200550,사근동,1120010700,행당동,1120010700100190085,19.0,85.0,서울특별시 성동구 행당동 19-85,112003103002,서울특별시 성동구 마조로,서울특별시 성동구 마조로 15-2,1,127.040597326824,37.559214742775,1941169644,20.0,89.0
9644,MA0101202310A0008233,투다리,투다리염창역점,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11470,양천구,11470520,목2동,1147010200,목동,1147010200105130021,513.0,21.0,서울특별시 양천구 목동 513-21,114703114007,서울특별시 양천구 목동중앙북로,서울특별시 양천구 목동중앙북로 85,1,126.872774469821,37.5464761415217,1303376300,70.0,682.01
9645,MA0101202310A0017603,투다리,투다리,구파발점,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11380,은평구,11380690,진관동,1138011400,진관동,1138011400101000005,100.0,5.0,서울특별시 은평구 진관동 100-5,113803111009,서울특별시 은평구 진관1로,서울특별시 은평구 진관1로 21-39,1,126.91856559452,37.6338587733013,2057633951,20.0,18.0
9647,MA0101202309A0087667,역전할머니,역전할머니맥주문래6가점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11560,영등포구,11560605,문래동,1156012400,문래동6가,1156012400100240001,24.0,1.0,서울특별시 영등포구 문래동6가 24-1,115604154433,서울특별시 영등포구 선유로13길,서울특별시 영등포구 선유로13길 25,1,126.886282229693,37.5189823725636,1618413004,20.0,46.0
9650,MA0101202311A0102121,역전할머니,역전할머니맥주,장한평점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11230,동대문구,11230650,장안1동,1123010600,장안동,1123010600104630002,463.0,2.0,서울특별시 동대문구 장안동 463-2,112304115570,서울특별시 동대문구 천호대로85길,서울특별시 동대문구 천호대로85길 14,1,127.066427773896,37.5625817730115,1904735187,20.0,284.0
9651,MA0101202311A0039588,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56111,한식 일반 음식점업,11,서울특별시,11500,강서구,11500611,발산1동,1150010600,내발산동,1150010600107540002,754.0,2.0,서울특별시 강서구 내발산동 754-2,115003115007,서울특별시 강서구 수명로,서울특별시 강서구 수명로 31,1,126.82314615664,37.5497729624913,1419163382,20.0,33.0
9654,MA010120220801325091,역전할머니,삼선자산역전할머니맥주서울군자역점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11215,광진구,11215780,능동,1121510200,능동,1121510200102210003,221.0,3.0,서울특별시 광진구 능동 221-3,112154112499,서울특별시 광진구 천호대로110길,서울특별시 광진구 천호대로110길 28,1,127.07951622664,37.5560414564479,1212496284,20.0,191.0
9655,MA010120220800789238,투다리,투다리,잠원점,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11650,서초구,11650540,잠원동,1165010600,잠원동,1165010600100390004,39.0,4.0,서울특별시 서초구 잠원동 39-4,116504163460,서울특별시 서초구 신반포로47길,서울특별시 서초구 신반포로47길 33-3,1,127.019047335813,37.511980720944,1648301419,20.0,59.0
9656,MA010120220805059829,역전할머니,역전할머니맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11380,은평구,11380690,진관동,1138011400,진관동,1138011400101000002,100.0,2.0,서울특별시 은평구 진관동 100-2,113803000008,서울특별시 은평구 통일로,서울특별시 은평구 통일로 1020,2,126.917784355814,37.6334257584991,1330188617,20.0,68.0
