Unnamed: 0,상가업소번호,brand,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번본번지,지번부번지,지번주소,도로명코드,도로명,도로명주소,층정보,경도,위도,place_id,월간 검색량,블로그누적발행
10094,MA0101202406A0272366,역전할머니,역전할머니맥주걸포점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41570,김포시,41570515,김포본동,4157010200,걸포동,4157010200102620001,262.0,1.0,경기도 김포시 걸포동 262-1,415703209005,경기도 김포시 걸포2로,경기도 김포시 걸포2로 45,1.0,126.702856323375,37.6341884455176,1345961322,20.0,48.0
10097,MA0101202406A0340082,역전할머니,역전할머니맥주부천,시청역점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41192,부천시 원미구,41192630,중1동,4119210800,중동,4119210800111660007,1166.0,7.0,경기도 부천시 원미구 중동 1166-7,411924352260,경기도 부천시 원미구 석천로177번길,경기도 부천시 원미구 석천로177번길 38,1.0,126.760826495669,37.5036851463744,1280687010,110.0,1890.02
10111,MA0101202306A0036706,역전할머니,역전할머니맥주,상동점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,41,경기도,41192,부천시 원미구,41192690,상2동,4119210900,상동,4119210900105450004,545.0,4.0,경기도 부천시 원미구 상동 545-4,411924352291,경기도 부천시 원미구 소향로13번길,경기도 부천시 원미구 소향로13번길 28-14,1.0,126.750101238047,37.5048432583289,1416268607,30.0,581.01
10113,MA0101202306A0096412,역전할머니,역전할머니맥주용인둔전점,,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,41,경기도,41461,용인시 처인구,41461250,포곡읍,4146125023,포곡읍,4146125023101390010,139.0,10.0,경기도 용인시 처인구 포곡읍 둔전리 139-10,414614409254,경기도 용인시 처인구 포곡읍 둔전로47번길,경기도 용인시 처인구 포곡읍 둔전로47번길 21,,127.219125475495,37.2682690204064,1970770706,20.0,83.0
10114,MA0101202307A0045124,역전할머니,역전할머니맥주,권선점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41113,수원시 권선구,41113680,권선2동,4111313700,권선동,4111313700112560011,1256.0,11.0,경기도 수원시 권선구 권선동 1256-11,411134325091,경기도 수원시 권선구 권광로56번길,경기도 수원시 권선구 권광로56번길 27,1.0,127.030062128699,37.2526727134565,1387072005,20.0,162.0
10115,MA0101202306A0098757,역전할머니,역전할머니맥주,마석점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41360,남양주시,41360256,화도읍,4136025621,화도읍,4136025621103920001,392.0,1.0,경기도 남양주시 화도읍 마석우리 392-1,413603197024,경기도 남양주시 화도읍 맷돌로,경기도 남양주시 화도읍 맷돌로 110-9,,127.302516352419,37.6571858372413,1047538304,20.0,109.0
10116,MA0101202306A0022986,역전할머니,역전할머니맥주군포,산본점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41410,군포시,41410620,광정동,4141010400,산본동,4141010400111400000,1140.0,,경기도 군포시 산본동 1140,414104400232,경기도 군포시 산본로323번길,경기도 군포시 산본로323번길 20-5,1.0,126.931472003763,37.3589338509679,1203738762,20.0,74.0
10117,MA0101202306A0031197,역전할머니,역전할머니맥주,하남감일점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,41,경기도,41450,하남시,41450582,감일동,4145011400,감일동,4145011400105310003,531.0,3.0,경기도 하남시 감일동 531-3,414504856845,경기도 하남시 신우실로63번길,경기도 하남시 신우실로63번길 15,,127.163141514274,37.5096981763368,1085628828,20.0,32.0
10120,MA0101202309A0019896,역전할머니,역전할머니맥주경기광주삼동점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41610,광주시,41610560,광남1동,4161010700,삼동,4161010700102810014,281.0,14.0,경기도 광주시 삼동 281-14,416103211033,경기도 광주시 순암로,경기도 광주시 순암로 508,1.0,127.198758376162,37.4116226590434,1292391064,20.0,150.0
10121,MA0101202308A0092358,역전할머니,역전할머니맥주화성,반월점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,41,경기도,41590,화성시,41590550,반월동,4159012000,반월동,4159012000100310001,31.0,1.0,경기도 화성시 반월동 31-1,415903177018,경기도 화성시 영통로,경기도 화성시 영통로 60,,127.062421001875,37.2357114190131,1618620966,20.0,149.0
